zip_code,week_of_vaccination,partially_vaccinated,fully_vaccinated,boosted,annotation,etl_timestamp,objectid
19151,8/15/2021 12:00:00 AM,28,246,17,,2023/11/16 13:10:00+00,1
19119,1/23/2022 12:00:00 AM,87,99,208,,2023/11/16 13:10:00+00,2
19148,7/10/2022 12:00:00 AM,71,45,73,,2023/11/16 13:10:00+00,3
19107,1/16/2022 12:00:00 AM,71,41,156,,2023/11/16 13:10:00+00,4
19107,8/15/2021 12:00:00 AM,17,52,35,,2023/11/16 13:10:00+00,5
19142,11/14/2021 12:00:00 AM,57,131,237,,2023/11/16 13:10:00+00,6
19123,3/7/2021 12:00:00 AM,31,253,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,7
19135,2/13/2022 12:00:00 AM,42,165,102,,2023/11/16 13:10:00+00,8
19123,4/4/2021 12:00:00 AM,86,955,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,9
19114,11/14/2021 12:00:00 AM,67,94,581,,2023/11/16 13:10:00+00,10
19151,1/16/2022 12:00:00 AM,89,149,423,,2023/11/16 13:10:00+00,11
19136,7/3/2022 12:00:00 AM,17,10,27,,2023/11/16 13:10:00+00,12
19133,7/3/2022 12:00:00 AM,15,12,20,,2023/11/16 13:10:00+00,13
19154,1/16/2022 12:00:00 AM,67,149,364,,2023/11/16 13:10:00+00,14
19129,9/12/2021 12:00:00 AM,7,41,22,,2023/11/16 13:10:00+00,15
19126,4/4/2021 12:00:00 AM,40,711,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,16
19154,8/15/2021 12:00:00 AM,22,194,44,,2023/11/16 13:10:00+00,17
19130,2/13/2022 12:00:00 AM,32,42,75,,2023/11/16 13:10:00+00,18
19153,7/25/2021 12:00:00 AM,8,84,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,19
19126,3/7/2021 12:00:00 AM,15,261,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,20
19111,11/14/2021 12:00:00 AM,151,245,939,,2023/11/16 13:10:00+00,21
19118,5/22/2022 12:00:00 AM,7,16,35,,2023/11/16 13:10:00+00,22
19112,10/17/2021 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,23
19154,9/5/2021 12:00:00 AM,15,191,28,,2023/11/16 13:10:00+00,24
19102,10/31/2021 12:00:00 AM,71,14,153,,2023/11/16 13:10:00+00,25
19138,11/21/2021 12:00:00 AM,35,97,313,,2023/11/16 13:10:00+00,26
19133,3/14/2021 12:00:00 AM,48,265,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,27
